# Renewables.ninja Weather (Point API) - 41.019, 28.667 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Istanbul, swgdn in W/m²
# {"units": {"time": "UTC", "local_time": "Europe/Istanbul", "swgdn": "W/m\u00b2"}, "params": {"local_time": "true", "header": "true", "lat": "41.01903044748906", "lon": "28.667044329387238", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": "false", "var_prectotland": "false", "var_precsnoland": "false", "var_snomas": "false", "var_rhoa": "false", "var_swgdn": "true", "var_swtdn": "false", "var_cldtot": "false"}}
time,local_time,swgdn
2019-01-01 00:00,2019-01-01 03:00,0
2019-01-01 01:00,2019-01-01 04:00,0
2019-01-01 02:00,2019-01-01 05:00,0
2019-01-01 03:00,2019-01-01 06:00,0
2019-01-01 04:00,2019-01-01 07:00,0
2019-01-01 05:00,2019-01-01 08:00,4.175
2019-01-01 06:00,2019-01-01 09:00,48.887
2019-01-01 07:00,2019-01-01 10:00,106.546
2019-01-01 08:00,2019-01-01 11:00,156.179
2019-01-01 09:00,2019-01-01 12:00,191.961
2019-01-01 10:00,2019-01-01 13:00,204.646
2019-01-01 11:00,2019-01-01 14:00,190.043
2019-01-01 12:00,2019-01-01 15:00,155.195
2019-01-01 13:00,2019-01-01 16:00,94.051
2019-01-01 14:00,2019-01-01 17:00,13.773
2019-01-01 15:00,2019-01-01 18:00,0
2019-01-01 16:00,2019-01-01 19:00,0
2019-01-01 17:00,2019-01-01 20:00,0
2019-01-01 18:00,2019-01-01 21:00,0
2019-01-01 19:00,2019-01-01 22:00,0
2019-01-01 20:00,2019-01-01 23:00,0
2019-01-01 21:00,2019-01-02 00:00,0
2019-01-01 22:00,2019-01-02 01:00,0
2019-01-01 23:00,2019-01-02 02:00,0
2019-01-02 00:00,2019-01-02 03:00,0
2019-01-02 01:00,2019-01-02 04:00,0
2019-01-02 02:00,2019-01-02 05:00,0
2019-01-02 03:00,2019-01-02 06:00,0
2019-01-02 04:00,2019-01-02 07:00,0
2019-01-02 05:00,2019-01-02 08:00,4.184
2019-01-02 06:00,2019-01-02 09:00,53.634
2019-01-02 07:00,2019-01-02 10:00,129.512
2019-01-02 08:00,2019-01-02 11:00,178.817
2019-01-02 09:00,2019-01-02 12:00,186.498
2019-01-02 10:00,2019-01-02 13:00,180.621
2019-01-02 11:00,2019-01-02 14:00,151.673
2019-01-02 12:00,2019-01-02 15:00,128.827
2019-01-02 13:00,2019-01-02 16:00,60.898
2019-01-02 14:00,2019-01-02 17:00,7.892
2019-01-02 15:00,2019-01-02 18:00,0
2019-01-02 16:00,2019-01-02 19:00,0
2019-01-02 17:00,2019-01-02 20:00,0
2019-01-02 18:00,2019-01-02 21:00,0
2019-01-02 19:00,2019-01-02 22:00,0
2019-01-02 20:00,2019-01-02 23:00,0
2019-01-02 21:00,2019-01-03 00:00,0
2019-01-02 22:00,2019-01-03 01:00,0
2019-01-02 23:00,2019-01-03 02:00,0
2019-01-03 00:00,2019-01-03 03:00,0
2019-01-03 01:00,2019-01-03 04:00,0
2019-01-03 02:00,2019-01-03 05:00,0
2019-01-03 03:00,2019-01-03 06:00,0
2019-01-03 04:00,2019-01-03 07:00,0
2019-01-03 05:00,2019-01-03 08:00,3.637
2019-01-03 06:00,2019-01-03 09:00,48.646
2019-01-03 07:00,2019-01-03 10:00,129.960
2019-01-03 08:00,2019-01-03 11:00,249.701
2019-01-03 09:00,2019-01-03 12:00,318.884
2019-01-03 10:00,2019-01-03 13:00,319.897
2019-01-03 11:00,2019-01-03 14:00,323.218
2019-01-03 12:00,2019-01-03 15:00,92.972
2019-01-03 13:00,2019-01-03 16:00,41.138
2019-01-03 14:00,2019-01-03 17:00,7.429
2019-01-03 15:00,2019-01-03 18:00,0
2019-01-03 16:00,2019-01-03 19:00,0
2019-01-03 17:00,2019-01-03 20:00,0
2019-01-03 18:00,2019-01-03 21:00,0
2019-01-03 19:00,2019-01-03 22:00,0
2019-01-03 20:00,2019-01-03 23:00,0
2019-01-03 21:00,2019-01-04 00:00,0
2019-01-03 22:00,2019-01-04 01:00,0
2019-01-03 23:00,2019-01-04 02:00,0
2019-01-04 00:00,2019-01-04 03:00,0
2019-01-04 01:00,2019-01-04 04:00,0
2019-01-04 02:00,2019-01-04 05:00,0
2019-01-04 03:00,2019-01-04 06:00,0
2019-01-04 04:00,2019-01-04 07:00,0
2019-01-04 05:00,2019-01-04 08:00,1.877
2019-01-04 06:00,2019-01-04 09:00,30.396
2019-01-04 07:00,2019-01-04 10:00,86.666
2019-01-04 08:00,2019-01-04 11:00,174.675
2019-01-04 09:00,2019-01-04 12:00,238.659
2019-01-04 10:00,2019-01-04 13:00,295.516
2019-01-04 11:00,2019-01-04 14:00,302.740
2019-01-04 12:00,2019-01-04 15:00,233.579
2019-01-04 13:00,2019-01-04 16:00,126.723
2019-01-04 14:00,2019-01-04 17:00,18.076
2019-01-04 15:00,2019-01-04 18:00,0
2019-01-04 16:00,2019-01-04 19:00,0
2019-01-04 17:00,2019-01-04 20:00,0
